"";"DecisionTreeClassifier_256_manual";"DecisionTreeClassifier_256_unet";"DecisionTreeClassifier_400_unet";"DecisionTreeClassifier_512_unet";"KNeighborsClassifier_256_manual";"KNeighborsClassifier_256_unet";"KNeighborsClassifier_400_unet";"KNeighborsClassifier_512_unet";"MLPClassifier_256_manual";"MLPClassifier_256_unet";"MLPClassifier_400_unet";"MLPClassifier_512_unet";"RandomForestClassifier_256_manual";"RandomForestClassifier_256_unet";"RandomForestClassifier_400_unet";"RandomForestClassifier_512_unet";"SVC_256_manual";"SVC_256_unet";"SVC_400_unet";"SVC_512_unet";"KNeighborsClassifier_400_manual";"MLPClassifier_400_manual";"DecisionTreeClassifier_400_manual";"SVC_400_manual";"RandomForestClassifier_400_manual"
"lbp_59_mean";"0.39733333333333337";"0.4613333333333333";"0.4613333333333333";"0.4693333333333333";"0.48";"0.5013333333333334";"0.5306666666666666";"0.5279999999999999";"0.35466666666666663";"0.5519999999999999";"0.4026666666666666";"0.4106666666666666";"0.5413333333333334";"0.5306666666666666";"0.5813333333333334";"0.5733333333333334";"0.3253333333333333";"0.3253333333333333";"0.352";"0.37066666666666664";"0.5413333333333334";"0.39733333333333337";"0.48";"0.352";"0.5973333333333333"
"lbp_59_std";"±0.03309246305597562";"±0.04008879034232775";"±0.05373184447895969";"±0.04079215610874226";"±0.06477310827461932";"±0.054389541478323054";"±0.08860398787112611";"±0.07283466817998754";"±0.05031456603763523";"±0.07380454668318959";"±0.057441757942768054";"±0.06219682021168319";"±0.03109841010584159";"±0.041654664938168856";"±0.06881860213634101";"±0.05399588461684421";"±0.07617523657112373";"±0.061737796814881195";"±0.05998518335574396";"±0.04249967320135794";"±0.05503937984146746";"±0.05926962872238099";"±0.05129435749779025";"±0.081147328291749";"±0.060457514926691394"
"surf64_257_mean";"0.5439999999999999";"0.5573333333333333";"0.5573333333333333";"0.5546666666666666";"0.4666666666666666";"0.472";"0.472";"0.36";"0.5893333333333333";"0.4826666666666667";"0.33866666666666667";"0.17333333333333334";"0.6853333333333335";"0.696";"0.7066666666666667";"0.6586666666666667";"0.3413333333333334";"0.3786666666666667";"0.33866666666666667";"0.21333333333333332";"0.45066666666666666";"0.3733333333333333";"0.5146666666666666";"0.35733333333333334";"0.6746666666666667"
"surf64_257_std";"±0.08149710287965933";"±0.04414118761932494";"±0.06276587891167906";"±0.03827386691841951";"±0.03675746333890727";"±0.05631656555184767";"±0.05306599664568639";"±0.04381780460041329";"±0.022939534045447";"±0.055553777749332435";"±0.09298984412886771";"±0.022310934040908687";"±0.05438954147832301";"±0.06553709721303738";"±0.049888765156985884";"±0.058787753826796275";"±0.03636848452529561";"±0.062311047709588924";"±0.0575654217197944";"±0.048442405665559865";"±0.052931821976744536";"±0.08964126034118193";"±0.043492017147466915";"±0.07608182729433122";"±0.04664761515876242"
"surf64_256_mean";"0.5439999999999999";"0.5653333333333334";"0.5439999999999999";"0.5546666666666666";"0.352";"0.35733333333333334";"0.3786666666666666";"0.36";"0.45066666666666666";"0.4826666666666667";"0.304";"0.24266666666666672";"0.6719999999999999";"0.6906666666666667";"0.7093333333333333";"0.6639999999999999";"0.3413333333333334";"0.3786666666666667";"0.33866666666666667";"0.21333333333333332";"0.344";"0.3733333333333333";"0.52";"0.35733333333333334";"0.6799999999999999"
"surf64_256_std";"±0.08149710287965933";"±0.048147920227380785";"±0.05017303392593809";"±0.03827386691841951";"±0.07135513685471814";"±0.039911012125588716";"±0.057565421719794396";"±0.04381780460041329";"±0.028472208672083495";"±0.055553777749332435";"±0.05087675740890377";"±0.03808761828556186";"±0.05170858514577417";"±0.05293182197674454";"±0.048735111686658845";"±0.05805744281887264";"±0.03636848452529561";"±0.062311047709588924";"±0.0575654217197944";"±0.048442405665559865";"±0.044141187619324944";"±0.08964126034118193";"±0.04844240566555986";"±0.07608182729433122";"±0.05781195570314346"
"surf64_128_mean";"0.5439999999999999";"0.5573333333333333";"0.5466666666666666";"0.5386666666666666";"0.352";"0.35733333333333334";"0.376";"0.368";"0.45066666666666666";"0.4826666666666667";"0.304";"0.24266666666666672";"0.7013333333333334";"0.6906666666666667";"0.712";"0.6773333333333333";"0.4106666666666666";"0.3786666666666667";"0.33866666666666667";"0.21333333333333332";"0.344";"0.3733333333333333";"0.5066666666666666";"0.35733333333333334";"0.6773333333333333"
"surf64_128_std";"±0.08149710287965933";"±0.04414118761932494";"±0.07955431408094026";"±0.03435759660460031";"±0.07135513685471814";"±0.039911012125588716";"±0.06607739569794063";"±0.024729649321321885";"±0.028472208672083495";"±0.055553777749332435";"±0.05087675740890377";"±0.03808761828556186";"±0.05938948653685358";"±0.05293182197674454";"±0.0510163372525573";"±0.06332982446420224";"±0.07075466219424852";"±0.062311047709588924";"±0.0575654217197944";"±0.048442405665559865";"±0.05555377774933242";"±0.08964126034118193";"±0.08044321668799122";"±0.07608182729433122";"±0.052931821976744564"
"surf128_513_mean";"0.5173333333333334";"0.49066666666666664";"0.512";"0.49866666666666665";"0.5253333333333334";"0.5093333333333334";"0.5093333333333333";"0.45600000000000007";"0.5546666666666666";"0.4293333333333334";"0.37333333333333335";"0.3813333333333333";"0.6346666666666667";"0.6799999999999999";"0.712";"0.6479999999999999";"0.39199999999999996";"0.544";"0.3626666666666666";"0.48533333333333334";"0.504";"0.4533333333333333";"0.496";"0.4293333333333334";"0.6346666666666666"
"surf128_513_std";"±0.06444291185917103";"±0.030868898407440597";"±0.04587906809089403";"±0.03109841010584163";"±0.05998518335574396";"±0.042499673201357946";"±0.054910027418597324";"±0.044939465456940574";"±0.01600000000000002";"±0.059269628722381";"±0.06477310827461932";"±0.04814792022738077";"±0.04888080741286231";"±0.06953815898882826";"±0.05239168721170264";"±0.059985183355743966";"±0.05170858514577417";"±0.03517574922206113";"±0.03900997023554078";"±0.04266666666666666";"±0.06923069325731825";"±0.040442002368274936";"±0.032";"±0.07561305002004176";"±0.05878775382679625"
