"mean_time_sec";"1.3522432327270508"
"mean_time_millisec";"1352.2432327270508"
"mean_time_min";"0.022537387212117514"
"mean_time_hour_min_sec";"00:00:01"
"std_time";"0.0040016786421311745"
"mean_sum";"0.6399999999999999"
"mean_sum_per";"64.0"
"std_sum";"0.04216370213557839"
"mean_prod";"0.6399999999999999"
"mean_prod_per";"64.0"
"std_prod";"0.04216370213557839"
"mean_max";"0.6399999999999999"
"mean_max_per";"64.0"
"std_max";"0.04216370213557839"
"best_mean_rule";"sum"
"BEST_MEAN";"0.6399999999999999"
"BEST_MEAN_per";"64.0"
"best_mean_std";"0.04216370213557839"
"best_fold";"1"
"best_rule";"max"
"best_fold_accuracy";"0.6933333333333334"
"best_fold_accuracy_per";"69.333"
"best_params";"{'criterion': 'gini', 'max_depth': 100, 'max_features': 'sqrt', 'n_estimators': 1000}"
