"mean_time_sec";"0.016748952865600585"
"mean_time_millisec";"16.748952865600586"
"mean_time_min";"0.0002791492144266764"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.0007150712474673414"
"mean_sum";"0.688"
"mean_sum_per";"68.8"
"std_sum";"0.044301993935563055"
"mean_prod";"0.688"
"mean_prod_per";"68.8"
"std_prod";"0.044301993935563055"
"mean_max";"0.688"
"mean_max_per";"68.8"
"std_max";"0.044301993935563055"
"best_mean_rule";"sum"
"BEST_MEAN";"0.688"
"BEST_MEAN_per";"68.8"
"best_mean_std";"0.044301993935563055"
"best_fold";"1"
"best_rule";"max"
"best_fold_accuracy";"0.76"
"best_fold_accuracy_per";"76.0"
"best_params";"{'kernel': 'sigmoid'}"
