"mean_time_sec";"0.00919041633605957"
"mean_time_millisec";"9.19041633605957"
"mean_time_min";"0.00015317360560099285"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.0007851631777722618"
"mean_sum";"0.5066666666666666"
"mean_sum_per";"50.667"
"std_sum";"0.04695151163109071"
"mean_prod";"0.5066666666666666"
"mean_prod_per";"50.667"
"std_prod";"0.04695151163109071"
"mean_max";"0.5066666666666666"
"mean_max_per";"50.667"
"std_max";"0.04695151163109071"
"best_mean_rule";"sum"
"BEST_MEAN";"0.5066666666666666"
"BEST_MEAN_per";"50.667"
"best_mean_std";"0.04695151163109071"
"best_fold";"0"
"best_rule";"max"
"best_fold_accuracy";"0.56"
"best_fold_accuracy_per";"56.0"
"best_params";"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}"
