"mean_time_sec";"0.20961923599243165"
"mean_time_millisec";"209.61923599243164"
"mean_time_min";"0.003493653933207194"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.02202855758794482"
"mean_sum";"0.6213333333333333"
"mean_sum_per";"62.133"
"std_sum";"0.029933259094191523"
"mean_prod";"0.6213333333333333"
"mean_prod_per";"62.133"
"std_prod";"0.029933259094191523"
"mean_max";"0.6213333333333333"
"mean_max_per";"62.133"
"std_max";"0.029933259094191523"
"best_mean_rule";"sum"
"BEST_MEAN";"0.6213333333333333"
"BEST_MEAN_per";"62.133"
"best_mean_std";"0.029933259094191523"
"best_fold";"0"
"best_rule";"max"
"best_fold_accuracy";"0.6533333333333333"
"best_fold_accuracy_per";"65.333"
"best_params";"{'activation': 'relu', 'learning_rate_init': 0.01, 'momentum': 0.9, 'solver': 'adam'}"
