"mean_time_sec";"1.3622814178466798"
"mean_time_millisec";"1362.2814178466797"
"mean_time_min";"0.022704690297444662"
"mean_time_hour_min_sec";"00:00:01"
"std_time";"0.0033878737296978334"
"mean_sum";"0.568"
"mean_sum_per";"56.8"
"std_sum";"0.023247461032216917"
"mean_prod";"0.568"
"mean_prod_per";"56.8"
"std_prod";"0.023247461032216917"
"mean_max";"0.568"
"mean_max_per";"56.8"
"std_max";"0.023247461032216917"
"best_mean_rule";"sum"
"BEST_MEAN";"0.568"
"BEST_MEAN_per";"56.8"
"best_mean_std";"0.023247461032216917"
"best_fold";"0"
"best_rule";"max"
"best_fold_accuracy";"0.6"
"best_fold_accuracy_per";"60.0"
"best_params";"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 1000}"
