"mean_time_sec";"0.0038349151611328123"
"mean_time_millisec";"3.8349151611328125"
"mean_time_min";"6.391525268554687e-05"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.0008783085904279645"
"mean_sum";"0.5253333333333334"
"mean_sum_per";"52.533"
"std_sum";"0.04814792022738076"
"mean_prod";"0.5253333333333334"
"mean_prod_per";"52.533"
"std_prod";"0.04814792022738076"
"mean_max";"0.5253333333333334"
"mean_max_per";"52.533"
"std_max";"0.04814792022738076"
"best_mean_rule";"sum"
"BEST_MEAN";"0.5253333333333334"
"BEST_MEAN_per";"52.533"
"best_mean_std";"0.04814792022738076"
"best_fold";"0"
"best_rule";"max"
"best_fold_accuracy";"0.6"
"best_fold_accuracy_per";"60.0"
"best_params";"{'criterion': 'gini', 'max_depth': 10, 'splitter': 'random'}"
