"mean_time_sec";"0.009819698333740235"
"mean_time_millisec";"9.819698333740234"
"mean_time_min";"0.00016366163889567058"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.0013172683189235565"
"mean_sum";"0.632"
"mean_sum_per";"63.2"
"std_sum";"0.013597385369580765"
"mean_prod";"0.632"
"mean_prod_per";"63.2"
"std_prod";"0.013597385369580765"
"mean_max";"0.632"
"mean_max_per";"63.2"
"std_max";"0.013597385369580765"
"best_mean_rule";"sum"
"BEST_MEAN";"0.632"
"BEST_MEAN_per";"63.2"
"best_mean_std";"0.013597385369580765"
"best_fold";"4"
"best_rule";"max"
"best_fold_accuracy";"0.6533333333333333"
"best_fold_accuracy_per";"65.333"
"best_params";"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}"
