"mean_time_sec";"0.011160182952880859"
"mean_time_millisec";"11.16018295288086"
"mean_time_min";"0.00018600304921468098"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.0007651831209710505"
"mean_sum";"0.6213333333333334"
"mean_sum_per";"62.133"
"std_sum";"0.019955506062794365"
"mean_prod";"0.6213333333333334"
"mean_prod_per";"62.133"
"std_prod";"0.019955506062794365"
"mean_max";"0.6213333333333334"
"mean_max_per";"62.133"
"std_max";"0.019955506062794365"
"best_mean_rule";"sum"
"BEST_MEAN";"0.6213333333333334"
"BEST_MEAN_per";"62.133"
"best_mean_std";"0.019955506062794365"
"best_fold";"1"
"best_rule";"max"
"best_fold_accuracy";"0.64"
"best_fold_accuracy_per";"64.0"
"best_params";"{'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'distance'}"
