"mean_time_sec";"0.05183286666870117"
"mean_time_millisec";"51.83286666870117"
"mean_time_min";"0.0008638811111450194"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.0015601860891949907"
"mean_sum";"0.6666666666666667"
"mean_sum_per";"66.667"
"std_sum";"0.04044200236827494"
"mean_prod";"0.6666666666666667"
"mean_prod_per";"66.667"
"std_prod";"0.04044200236827494"
"mean_max";"0.6666666666666667"
"mean_max_per";"66.667"
"std_max";"0.04044200236827494"
"best_mean_rule";"sum"
"BEST_MEAN";"0.6666666666666667"
"BEST_MEAN_per";"66.667"
"best_mean_std";"0.04044200236827494"
"best_fold";"2"
"best_rule";"max"
"best_fold_accuracy";"0.72"
"best_fold_accuracy_per";"72.0"
"best_params";"{'activation': 'relu', 'learning_rate_init': 0.01, 'momentum': 0.9, 'solver': 'adam'}"
