"mean_time_sec";"1.079413080215454"
"mean_time_millisec";"1079.413080215454"
"mean_time_min";"0.0179902180035909"
"mean_time_hour_min_sec";"00:00:01"
"std_time";"0.020024673570086332"
"mean_sum";"0.6399999999999999"
"mean_sum_per";"64.0"
"std_sum";"0.04844240566555986"
"mean_prod";"0.6399999999999999"
"mean_prod_per";"64.0"
"std_prod";"0.04844240566555986"
"mean_max";"0.6399999999999999"
"mean_max_per";"64.0"
"std_max";"0.04844240566555986"
"best_mean_rule";"sum"
"BEST_MEAN";"0.6399999999999999"
"BEST_MEAN_per";"64.0"
"best_mean_std";"0.04844240566555986"
"best_fold";"0"
"best_rule";"max"
"best_fold_accuracy";"0.72"
"best_fold_accuracy_per";"72.0"
"best_params";"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 800}"
