"mean_time_sec";"0.1706238269805908"
"mean_time_millisec";"170.62382698059082"
"mean_time_min";"0.0028437304496765135"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.005012499844722367"
"mean_sum";"0.536"
"mean_sum_per";"53.6"
"std_sum";"0.024440403706431142"
"mean_prod";"0.32799999999999996"
"mean_prod_per";"32.8"
"std_prod";"0.0617377968148812"
"mean_max";"0.512"
"mean_max_per";"51.2"
"std_max";"0.0496028673006354"
"best_mean_rule";"sum"
"BEST_MEAN";"0.536"
"BEST_MEAN_per";"53.6"
"best_mean_std";"0.024440403706431142"
"best_fold";"0"
"best_rule";"max"
"best_fold_accuracy";"0.6"
"best_fold_accuracy_per";"60.0"
"best_params";"{'criterion': 'entropy', 'max_depth': 10, 'splitter': 'best'}"
