"mean_time_sec";"0.01986231803894043"
"mean_time_millisec";"19.86231803894043"
"mean_time_min";"0.0003310386339823405"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.0009068489726603428"
"mean_sum";"0.744"
"mean_sum_per";"74.4"
"std_sum";"0.05491002741859734"
"mean_prod";"0.7200000000000001"
"mean_prod_per";"72.0"
"std_prod";"0.04462186808181736"
"mean_max";"0.744"
"mean_max_per";"74.4"
"std_max";"0.02969474326842678"
"best_mean_rule";"sum"
"BEST_MEAN";"0.744"
"BEST_MEAN_per";"74.4"
"best_mean_std";"0.05491002741859734"
"best_fold";"1"
"best_rule";"sum"
"best_fold_accuracy";"0.8"
"best_fold_accuracy_per";"80.0"
"best_params";"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}"
