"mean_time_sec";"0.021926403045654297"
"mean_time_millisec";"21.926403045654297"
"mean_time_min";"0.00036544005076090494"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.0024152971909670307"
"mean_sum";"0.568"
"mean_sum_per";"56.8"
"std_sum";"0.0517085851457742"
"mean_prod";"0.5386666666666666"
"mean_prod_per";"53.867"
"std_prod";"0.04960286730063541"
"mean_max";"0.5946666666666667"
"mean_max_per";"59.467"
"std_max";"0.037333333333333316"
"best_mean_rule";"max"
"BEST_MEAN";"0.5946666666666667"
"BEST_MEAN_per";"59.467"
"best_mean_std";"0.037333333333333316"
"best_fold";"0"
"best_rule";"max"
"best_fold_accuracy";"0.64"
"best_fold_accuracy_per";"64.0"
"best_params";"{'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}"
