"mean_time_sec";"0.02589244842529297"
"mean_time_millisec";"25.89244842529297"
"mean_time_min";"0.00043154080708821614"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.019281716077783846"
"mean_sum";"0.696"
"mean_sum_per";"69.6"
"std_sum";"0.017688665548562136"
"mean_prod";"0.6506666666666666"
"mean_prod_per";"65.067"
"std_prod";"0.04079215610874227"
"mean_max";"0.6826666666666668"
"mean_max_per";"68.267"
"std_max";"0.024440403706431142"
"best_mean_rule";"sum"
"BEST_MEAN";"0.696"
"BEST_MEAN_per";"69.6"
"best_mean_std";"0.017688665548562136"
"best_fold";"1"
"best_rule";"sum"
"best_fold_accuracy";"0.72"
"best_fold_accuracy_per";"72.0"
"best_params";"{'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}"
