"mean_time_sec";"0.7425816535949707"
"mean_time_millisec";"742.5816535949707"
"mean_time_min";"0.012376360893249512"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.0056676704021221816"
"mean_sum";"0.7893333333333332"
"mean_sum_per";"78.933"
"std_sum";"0.04945929864264377"
"mean_prod";"0.8026666666666668"
"mean_prod_per";"80.267"
"std_prod";"0.05087675740890378"
"mean_max";"0.752"
"mean_max_per";"75.2"
"std_max";"0.038273866918419525"
"best_mean_rule";"prod"
"BEST_MEAN";"0.8026666666666668"
"BEST_MEAN_per";"80.267"
"best_mean_std";"0.05087675740890378"
"best_fold";"0"
"best_rule";"prod"
"best_fold_accuracy";"0.8666666666666667"
"best_fold_accuracy_per";"86.667"
"best_params";"{'activation': 'logistic', 'learning_rate_init': 0.01, 'momentum': 0.4, 'solver': 'sgd'}"
