"mean_time_sec";"1.1554276943206787"
"mean_time_millisec";"1155.4276943206787"
"mean_time_min";"0.01925712823867798"
"mean_time_hour_min_sec";"00:00:01"
"std_time";"0.026339871349695093"
"mean_sum";"0.752"
"mean_sum_per";"75.2"
"std_sum";"0.041825032376954986"
"mean_prod";"0.7546666666666667"
"mean_prod_per";"75.467"
"std_prod";"0.05031456603763525"
"mean_max";"0.7226666666666667"
"mean_max_per";"72.267"
"std_max";"0.03808761828556187"
"best_mean_rule";"prod"
"BEST_MEAN";"0.7546666666666667"
"BEST_MEAN_per";"75.467"
"best_mean_std";"0.05031456603763525"
"best_fold";"0"
"best_rule";"prod"
"best_fold_accuracy";"0.8"
"best_fold_accuracy_per";"80.0"
"best_params";"{'criterion': 'entropy', 'max_depth': 100, 'max_features': 'sqrt', 'n_estimators': 800}"
