"mean_time_sec";"0.029554176330566406"
"mean_time_millisec";"29.554176330566406"
"mean_time_min";"0.0004925696055094401"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.02771677008845031"
"mean_sum";"0.6773333333333333"
"mean_sum_per";"67.733"
"std_sum";"0.05555377774933243"
"mean_prod";"0.6293333333333333"
"mean_prod_per";"62.933"
"std_prod";"0.06819579654690357"
"mean_max";"0.6346666666666667"
"mean_max_per";"63.467"
"std_max";"0.05938948653685358"
"best_mean_rule";"sum"
"BEST_MEAN";"0.6773333333333333"
"BEST_MEAN_per";"67.733"
"best_mean_std";"0.05555377774933243"
"best_fold";"1"
"best_rule";"sum"
"best_fold_accuracy";"0.76"
"best_fold_accuracy_per";"76.0"
"best_params";"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}"
