"mean_time_sec";"0.3304886817932129"
"mean_time_millisec";"330.4886817932129"
"mean_time_min";"0.005508144696553548"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.011666031058289027"
"mean_sum";"0.7733333333333332"
"mean_sum_per";"77.333"
"std_sum";"0.04988876515698587"
"mean_prod";"0.7813333333333332"
"mean_prod_per";"78.133"
"std_prod";"0.036368484525295626"
"mean_max";"0.736"
"mean_max_per";"73.6"
"std_max";"0.03991101212558868"
"best_mean_rule";"prod"
"BEST_MEAN";"0.7813333333333332"
"BEST_MEAN_per";"78.133"
"best_mean_std";"0.036368484525295626"
"best_fold";"1"
"best_rule";"prod"
"best_fold_accuracy";"0.84"
"best_fold_accuracy_per";"84.0"
"best_params";"{'kernel': 'rbf'}"
