"mean_time_sec";"0.06977877616882325"
"mean_time_millisec";"69.77877616882324"
"mean_time_min";"0.0011629796028137208"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.0010432071293800787"
"mean_sum";"0.5066666666666666"
"mean_sum_per";"50.667"
"std_sum";"0.026666666666666655"
"mean_prod";"0.2853333333333333"
"mean_prod_per";"28.533"
"std_prod";"0.032221455929585516"
"mean_max";"0.4133333333333333"
"mean_max_per";"41.333"
"std_max";"0.06422183775355891"
"best_mean_rule";"sum"
"BEST_MEAN";"0.5066666666666666"
"BEST_MEAN_per";"50.667"
"best_mean_std";"0.026666666666666655"
"best_fold";"4"
"best_rule";"sum"
"best_fold_accuracy";"0.5466666666666666"
"best_fold_accuracy_per";"54.667"
"best_params";"{'criterion': 'gini', 'max_depth': 10, 'splitter': 'random'}"
