"mean_time_sec";"1.3200153350830077"
"mean_time_millisec";"1320.0153350830078"
"mean_time_min";"0.022000255584716796"
"mean_time_hour_min_sec";"00:00:01"
"std_time";"0.005187615165984936"
"mean_sum";"0.8186666666666668"
"mean_sum_per";"81.867"
"std_sum";"0.027455013709298697"
"mean_prod";"0.8106666666666668"
"mean_prod_per";"81.067"
"std_prod";"0.022939534045446998"
"mean_max";"0.7653333333333332"
"mean_max_per";"76.533"
"std_max";"0.05998518335574399"
"best_mean_rule";"sum"
"BEST_MEAN";"0.8186666666666668"
"BEST_MEAN_per";"81.867"
"best_mean_std";"0.027455013709298697"
"best_fold";"1"
"best_rule";"max"
"best_fold_accuracy";"0.8666666666666667"
"best_fold_accuracy_per";"86.667"
"best_params";"{'activation': 'logistic', 'learning_rate_init': 0.0001, 'momentum': 0.9, 'solver': 'adam'}"
