"mean_time_sec";"0.05134382247924805"
"mean_time_millisec";"51.34382247924805"
"mean_time_min";"0.0008557303746541342"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.02580217281564865"
"mean_sum";"0.6773333333333333"
"mean_sum_per";"67.733"
"std_sum";"0.09136982239472968"
"mean_prod";"0.4453333333333333"
"mean_prod_per";"44.533"
"std_prod";"0.0496028673006354"
"mean_max";"0.4746666666666666"
"mean_max_per";"47.467"
"std_max";"0.09027365802565737"
"best_mean_rule";"sum"
"BEST_MEAN";"0.6773333333333333"
"BEST_MEAN_per";"67.733"
"best_mean_std";"0.09136982239472968"
"best_fold";"1"
"best_rule";"sum"
"best_fold_accuracy";"0.8"
"best_fold_accuracy_per";"80.0"
"best_params";"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}"
