"mean_time_sec";"4.653174495697021"
"mean_time_millisec";"4653.1744956970215"
"mean_time_min";"0.07755290826161702"
"mean_time_hour_min_sec";"00:00:04"
"std_time";"0.018322303273362584"
"mean_sum";"0.8160000000000001"
"mean_sum_per";"81.6"
"std_sum";"0.027194770739161534"
"mean_prod";"0.8240000000000001"
"mean_prod_per";"82.4"
"std_prod";"0.03517574922206109"
"mean_max";"0.7573333333333333"
"mean_max_per";"75.733"
"std_max";"0.04249967320135793"
"best_mean_rule";"prod"
"BEST_MEAN";"0.8240000000000001"
"BEST_MEAN_per";"82.4"
"best_mean_std";"0.03517574922206109"
"best_fold";"1"
"best_rule";"prod"
"best_fold_accuracy";"0.8933333333333333"
"best_fold_accuracy_per";"89.333"
"best_params";"{'activation': 'logistic', 'learning_rate_init': 0.01, 'momentum': 0.4, 'solver': 'sgd'}"
