"mean_time_sec";"0.028433799743652344"
"mean_time_millisec";"28.433799743652344"
"mean_time_min";"0.00047389666239420575"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.016085706237107502"
"mean_sum";"0.688"
"mean_sum_per";"68.8"
"std_sum";"0.050314566037635206"
"mean_prod";"0.68"
"mean_prod_per";"68.0"
"std_prod";"0.07351492667781453"
"mean_max";"0.624"
"mean_max_per";"62.4"
"std_max";"0.04725345372445162"
"best_mean_rule";"sum"
"BEST_MEAN";"0.688"
"BEST_MEAN_per";"68.8"
"best_mean_std";"0.050314566037635206"
"best_fold";"1"
"best_rule";"prod"
"best_fold_accuracy";"0.8"
"best_fold_accuracy_per";"80.0"
"best_params";"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}"
