"mean_time_sec";"0.09389662742614746"
"mean_time_millisec";"93.89662742614746"
"mean_time_min";"0.001564943790435791"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.002563184798012604"
"mean_sum";"0.49333333333333335"
"mean_sum_per";"49.333"
"std_sum";"0.08132240363721015"
"mean_prod";"0.29066666666666663"
"mean_prod_per";"29.067"
"std_prod";"0.021333333333333336"
"mean_max";"0.3706666666666667"
"mean_max_per";"37.067"
"std_max";"0.07370813312578801"
"best_mean_rule";"sum"
"BEST_MEAN";"0.49333333333333335"
"BEST_MEAN_per";"49.333"
"best_mean_std";"0.08132240363721015"
"best_fold";"3"
"best_rule";"sum"
"best_fold_accuracy";"0.6133333333333333"
"best_fold_accuracy_per";"61.333"
"best_params";"{'criterion': 'gini', 'max_depth': 10, 'splitter': 'best'}"
