"mean_time_sec";"3.4388808250427245"
"mean_time_millisec";"3438.8808250427246"
"mean_time_min";"0.05731468041737874"
"mean_time_hour_min_sec";"00:00:03"
"std_time";"0.023489455222029536"
"mean_sum";"0.744"
"mean_sum_per";"74.4"
"std_sum";"0.03714236873915767"
"mean_prod";"0.7573333333333333"
"mean_prod_per";"75.733"
"std_prod";"0.03200000000000003"
"mean_max";"0.7066666666666667"
"mean_max_per";"70.667"
"std_max";"0.04695151163109068"
"best_mean_rule";"prod"
"BEST_MEAN";"0.7573333333333333"
"BEST_MEAN_per";"75.733"
"best_mean_std";"0.03200000000000003"
"best_fold";"1"
"best_rule";"prod"
"best_fold_accuracy";"0.8133333333333334"
"best_fold_accuracy_per";"81.333"
"best_params";"{'activation': 'logistic', 'learning_rate_init': 0.01, 'momentum': 0.4, 'solver': 'sgd'}"
