"mean_time_sec";"1.5944696426391602"
"mean_time_millisec";"1594.4696426391602"
"mean_time_min";"0.026574494043986003"
"mean_time_hour_min_sec";"00:00:01"
"std_time";"0.012347122244136062"
"mean_sum";"0.7013333333333334"
"mean_sum_per";"70.133"
"std_sum";"0.0766405752703995"
"mean_prod";"0.7333333333333332"
"mean_prod_per";"73.333"
"std_prod";"0.07910611719568707"
"mean_max";"0.4693333333333333"
"mean_max_per";"46.933"
"std_max";"0.06276587891167906"
"best_mean_rule";"prod"
"BEST_MEAN";"0.7333333333333332"
"BEST_MEAN_per";"73.333"
"best_mean_std";"0.07910611719568707"
"best_fold";"1"
"best_rule";"prod"
"best_fold_accuracy";"0.84"
"best_fold_accuracy_per";"84.0"
"best_params";"{'criterion': 'entropy', 'max_depth': 100, 'max_features': 'log2', 'n_estimators': 1000}"
