"";"DecisionTreeClassifier_256_manual";"DecisionTreeClassifier_400_manual";"DecisionTreeClassifier_512_manual";"DecisionTreeClassifier_256_unet";"DecisionTreeClassifier_400_unet";"DecisionTreeClassifier_512_unet";"KNeighborsClassifier_256_manual";"KNeighborsClassifier_400_manual";"KNeighborsClassifier_512_manual";"KNeighborsClassifier_256_unet";"KNeighborsClassifier_400_unet";"KNeighborsClassifier_512_unet";"MLPClassifier_256_manual";"MLPClassifier_400_manual";"MLPClassifier_512_manual";"MLPClassifier_256_unet";"MLPClassifier_400_unet";"MLPClassifier_512_unet";"RandomForestClassifier_256_manual";"RandomForestClassifier_400_manual";"RandomForestClassifier_512_manual";"RandomForestClassifier_256_unet";"RandomForestClassifier_400_unet";"RandomForestClassifier_512_unet";"SVC_256_manual";"SVC_400_manual";"SVC_512_manual";"SVC_256_unet";"SVC_400_unet";"SVC_512_unet"
"lbp_59_mean";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"lbp_59_std";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"lbp_59_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"surf64_257_mean";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"surf64_257_std";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"surf64_257_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"surf64_256_mean";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"surf64_256_std";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"surf64_256_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"surf64_128_mean";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"surf64_128_std";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"surf64_128_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"surf128_513_mean";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"surf128_513_std";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"surf128_513_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"surf128_256_mean";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"surf128_256_std";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"surf128_256_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"surf128_128_mean";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"surf128_128_std";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
