"";"DecisionTreeClassifier_256_manual";"DecisionTreeClassifier_400_manual";"DecisionTreeClassifier_512_manual";"DecisionTreeClassifier_256_unet";"DecisionTreeClassifier_400_unet";"DecisionTreeClassifier_512_unet";"KNeighborsClassifier_256_manual";"KNeighborsClassifier_400_manual";"KNeighborsClassifier_512_manual";"KNeighborsClassifier_256_unet";"KNeighborsClassifier_400_unet";"KNeighborsClassifier_512_unet";"MLPClassifier_256_manual";"MLPClassifier_400_manual";"MLPClassifier_512_manual";"MLPClassifier_256_unet";"MLPClassifier_400_unet";"MLPClassifier_512_unet";"RandomForestClassifier_256_manual";"RandomForestClassifier_400_manual";"RandomForestClassifier_512_manual";"RandomForestClassifier_256_unet";"RandomForestClassifier_400_unet";"RandomForestClassifier_512_unet";"SVC_256_manual";"SVC_400_manual";"SVC_512_manual";"SVC_256_unet";"SVC_400_unet";"SVC_512_unet"
"lbp_59_mean";"";"";"";"88,8";"86,667";"88,533";"";"";"";"87,467";"89,067";"86,667";"";"";"";"84,4";"84,533";"82,4";"";"";"";"87,867";"90,667";"89,867";"";"";"";"69,333";"70,933";"72,267"
"lbp_59_std";"";"";"";"±0.023";"±0.024";"±0.037";"";"";"";"±0.031";"±0.035";"±0.022";"";"";"";"±0.043";"±0.022";"±0.028";"";"";"";"±0.023";"±0.025";"±0.027";"";"";"";"±0.031";"±0.034";"±0.037"
"lbp_59_top_k";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0"
"surf64_257_mean";"";"";"";"90,4";"92,0";"90,933";"";"";"";"90,933";"92,0";"90,133";"";"";"";"94,667";"93,6";"94,4";"";"";"";"94,133";"94,133";"95,2";"";"";"";"94,667";"93,6";"94,667"
"surf64_257_std";"";"";"";"±0.037";"±0.012";"±0.03";"";"";"";"±0.021";"±0.03";"±0.029";"";"";"";"±0.017";"±0.028";"±0.023";"";"";"";"±0.016";"±0.03";"±0.018";"";"";"";"±0.022";"±0.037";"±0.015"
"surf64_257_top_k";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0"
"surf64_256_mean";"";"";"";"88,0";"86,933";"89,867";"";"";"";"90,933";"92,0";"90,133";"";"";"";"93,6";"93,6";"95,2";"";"";"";"90,933";"91,467";"93,333";"";"";"";"94,667";"93,6";"94,667"
"surf64_256_std";"";"";"";"±0.03";"±0.049";"±0.011";"";"";"";"±0.021";"±0.03";"±0.029";"";"";"";"±0.021";"±0.032";"±0.027";"";"";"";"±0.026";"±0.031";"±0.03";"";"";"";"±0.022";"±0.037";"±0.015"
"surf64_256_top_k";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0"
"surf64_128_mean";"";"";"";"92,267";"89,6";"89,6";"";"";"";"90,933";"92,0";"89,067";"";"";"";"95,2";"93,6";"94,133";"";"";"";"93,067";"93,333";"95,2";"";"";"";"94,667";"92,533";"93,867"
"surf64_128_std";"";"";"";"±0.026";"±0.053";"±0.016";"";"";"";"±0.028";"±0.032";"±0.021";"";"";"";"±0.011";"±0.04";"±0.02";"";"";"";"±0.018";"±0.038";"±0.025";"";"";"";"±0.022";"±0.039";"±0.022"
"surf64_128_top_k";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0"
"surf128_513_mean";"";"";"";"90,667";"91,2";"90,133";"";"";"";"90,4";"90,667";"90,667";"";"";"";"93,867";"93,067";"93,6";"";"";"";"93,867";"93,867";"94,133";"";"";"";"94,667";"94,4";"93,067"
"surf128_513_std";"";"";"";"±0.027";"±0.03";"±0.02";"";"";"";"±0.005";"±0.035";"±0.022";"";"";"";"±0.027";"±0.031";"±0.018";"";"";"";"±0.018";"±0.029";"±0.016";"";"";"";"±0.019";"±0.033";"±0.02"
