"";"DecisionTreeClassifier_256_manual";"DecisionTreeClassifier_400_manual";"DecisionTreeClassifier_512_manual";"DecisionTreeClassifier_256_unet";"DecisionTreeClassifier_400_unet";"DecisionTreeClassifier_512_unet";"KNeighborsClassifier_256_manual";"KNeighborsClassifier_400_manual";"KNeighborsClassifier_512_manual";"KNeighborsClassifier_256_unet";"KNeighborsClassifier_400_unet";"KNeighborsClassifier_512_unet";"MLPClassifier_256_manual";"MLPClassifier_400_manual";"MLPClassifier_512_manual";"MLPClassifier_256_unet";"MLPClassifier_400_unet";"MLPClassifier_512_unet";"RandomForestClassifier_256_manual";"RandomForestClassifier_400_manual";"RandomForestClassifier_512_manual";"RandomForestClassifier_256_unet";"RandomForestClassifier_400_unet";"RandomForestClassifier_512_unet";"SVC_256_manual";"SVC_400_manual";"SVC_512_manual";"SVC_256_unet";"SVC_400_unet";"SVC_512_unet"
"lbp_59_mean";"";"";"";"0.034";"0.034";"0.033";"";"";"";"0.026";"0.027";"0.027";"";"";"";"0.293";"0.289";"0.254";"";"";"";"1.044";"1.222";"1.224";"";"";"";"0.109";"0.101";"0.104"
"lbp_59_std";"";"";"";"0.109";"0.108";"0.108";"";"";"";"0.394";"0.407";"0.427";"";"";"";"91.464";"92.907";"92.225";"";"";"";"189.232";"188.273";"188.766";"";"";"";"0.329";"0.289";"0.298"
"lbp_59_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"surf64_257_mean";"";"";"";"0.064";"0.067";"0.065";"";"";"";"0.053";"0.053";"0.053";"";"";"";"0.161";"0.166";"0.168";"";"";"";"0.934";"0.958";"0.985";"";"";"";"0.087";"0.086";"0.085"
"surf64_257_std";"";"";"";"0.304";"0.294";"0.3";"";"";"";"0.521";"0.534";"0.497";"";"";"";"100.756";"91.952";"99.932";"";"";"";"192.394";"192.152";"192.267";"";"";"";"0.289";"0.289";"0.302"
"surf64_257_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"surf64_256_mean";"";"";"";"0.07";"0.066";"0.064";"";"";"";"0.054";"0.053";"0.054";"";"";"";"0.098";"0.096";"0.094";"";"";"";"1.108";"1.107";"1.126";"";"";"";"0.083";"0.085";"0.088"
"surf64_256_std";"";"";"";"0.255";"0.254";"0.26";"";"";"";"0.323";"0.314";"0.358";"";"";"";"94.243";"94.067";"89.125";"";"";"";"194.046";"194.933";"193.496";"";"";"";"0.313";"0.301";"0.283"
"surf64_256_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"surf64_128_mean";"";"";"";"0.045";"0.045";"0.042";"";"";"";"0.037";"0.037";"0.036";"";"";"";"0.09";"0.083";"0.081";"";"";"";"1.11";"1.114";"1.126";"";"";"";"0.064";"0.062";"0.065"
"surf64_128_std";"";"";"";"0.152";"0.143";"0.136";"";"";"";"0.3";"0.295";"0.287";"";"";"";"86.16";"82.935";"86.289";"";"";"";"190.83";"191.124";"190.926";"";"";"";"0.185";"0.214";"0.207"
"surf64_128_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"surf128_513_mean";"";"";"";"0.102";"0.104";"0.103";"";"";"";"0.087";"0.086";"0.084";"";"";"";"0.171";"0.176";"0.175";"";"";"";"0.911";"0.936";"0.948";"";"";"";"0.137";"0.139";"0.138"
"surf128_513_std";"";"";"";"0.483";"0.503";"0.52";"";"";"";"0.477";"0.566";"0.567";"";"";"";"88.533";"92.961";"90.912";"";"";"";"196.218";"195.643";"197.102";"";"";"";"0.529";"0.504";"0.482"
"surf128_513_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"surf128_256_mean";"";"";"";"0.063";"0.067";"0.064";"";"";"";"0.053";"0.055";"0.056";"";"";"";"0.081";"0.082";"0.084";"";"";"";"1.087";"1.097";"1.118";"";"";"";"0.082";"0.08";"0.085"
"surf128_256_std";"";"";"";"0.242";"0.229";"0.23";"";"";"";"0.314";"0.329";"0.356";"";"";"";"86.953";"88.02";"92.02";"";"";"";"194.684";"193.593";"195.11";"";"";"";"0.289";"0.29";"0.298"
"surf128_256_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"surf128_128_mean";"";"";"";"0.043";"0.044";"0.043";"";"";"";"0.039";"0.038";"0.039";"";"";"";"0.074";"0.073";"0.072";"";"";"";"1.109";"1.109";"1.155";"";"";"";"0.062";"0.061";"0.061"
"surf128_128_std";"";"";"";"0.148";"0.142";"0.143";"";"";"";"0.302";"0.336";"0.288";"";"";"";"81.257";"83.958";"88.135";"";"";"";"192.338";"190.945";"192.07";"";"";"";"0.185";"0.207";"0.218"
"surf128_128_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"mobilenetv2_1280_mean";"";"";"";"0.813";"0.082";"";"";"";"";"0.307";"0.305";"";"";"";"";"2.221";"2.189";"";"";"";"";"3.191";"8.348";"";"";"";"";"1.342";"1.384";""
"mobilenetv2_1280_std";"";"";"";"2.773";"1.911";"";"";"";"";"1.048";"1.124";"";"";"";"";"278.494";"273.96";"";"";"";"";"242.013";"243.089";"";"";"";"";"3.779";"3.788";""
"mobilenetv2_1280_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"mobilenetv2_1024_mean";"";"";"";"0.737";"0.075";"";"";"";"";"0.212";"0.216";"";"";"";"";"1.863";"1.863";"";"";"";"";"7.475";"5.912";"";"";"";"";"1.09";"1.094";""
"mobilenetv2_1024_std";"";"";"";"2.573";"1.569";"";"";"";"";"0.758";"0.781";"";"";"";"";"205.404";"201.544";"";"";"";"";"259.322";"261.457";"";"";"";"";"3.03";"2.904";""
"mobilenetv2_1024_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"mobilenetv2_512_mean";"";"";"";"0.366";"0.363";"";"";"";"";"0.114";"0.113";"";"";"";"";"1.097";"1.074";"";"";"";"";"8.328";"8.56";"";"";"";"";"0.623";"0.643";""
"mobilenetv2_512_std";"";"";"";"1.269";"1.258";"";"";"";"";"0.537";"0.539";"";"";"";"";"163.857";"178.314";"";"";"";"";"227.48";"229.077";"";"";"";"";"1.732";"1.709";""
"mobilenetv2_512_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"mobilenetv2_256_mean";"";"";"";"0.203";"0.039";"";"";"";"";"0.066";"0.063";"";"";"";"";"0.695";"0.681";"";"";"";"";"6.455";"11.18";"";"";"";"";"0.381";"0.38";""
"mobilenetv2_256_std";"";"";"";"0.722";"0.434";"";"";"";"";"0.479";"0.439";"";"";"";"";"163.488";"162.083";"";"";"";"";"209.812";"212.089";"";"";"";"";"1.085";"1.018";""
"mobilenetv2_256_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"mobilenetv2_128_mean";"";"";"";"0.111";"0.08";"";"";"";"";"0.04";"0.04";"";"";"";"";"0.498";"0.492";"";"";"";"";"11.25";"4.963";"";"";"";"";"0.234";"0.232";""
"mobilenetv2_128_std";"";"";"";"0.35";"0.294";"";"";"";"";"0.372";"0.385";"";"";"";"";"141.609";"154.402";"";"";"";"";"200.937";"202.238";"";"";"";"";"1.5";"0.696";""
"mobilenetv2_128_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"resnet50v2_2048_mean";"";"";"";"0.46";"";"";"";"";"";"0.342";"";"";"";"";"";"3.516";"";"";"";"";"";"7.391";"";"";"";"";"";"1.435";"";""
"resnet50v2_2048_std";"";"";"";"2.358";"";"";"";"";"";"1.9";"";"";"";"";"";"554.607";"";"";"";"";"";"231.34";"";"";"";"";"";"6.941";"";""
"resnet50v2_2048_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"resnet50v2_1024_mean";"";"";"";"0.456";"";"";"";"";"";"0.216";"";"";"";"";"";"1.864";"";"";"";"";"";"8.056";"";"";"";"";"";"0.695";"";""
"resnet50v2_1024_std";"";"";"";"2.155";"";"";"";"";"";"0.76";"";"";"";"";"";"203.072";"";"";"";"";"";"260.337";"";"";"";"";"";"2.711";"";""
"resnet50v2_1024_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"resnet50v2_512_mean";"";"";"";"0.041";"";"";"";"";"";"0.115";"";"";"";"";"";"1.113";"";"";"";"";"";"7.987";"";"";"";"";"";"0.417";"";""
"resnet50v2_512_std";"";"";"";"0.892";"";"";"";"";"";"0.533";"";"";"";"";"";"164.522";"";"";"";"";"";"228.711";"";"";"";"";"";"1.531";"";""
"resnet50v2_512_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"resnet50v2_256_mean";"";"";"";"0.205";"";"";"";"";"";"0.066";"";"";"";"";"";"0.7";"";"";"";"";"";"6.746";"";"";"";"";"";"0.379";"";""
"resnet50v2_256_std";"";"";"";"0.661";"";"";"";"";"";"0.442";"";"";"";"";"";"161.937";"";"";"";"";"";"211.824";"";"";"";"";"";"1.081";"";""
"resnet50v2_256_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"resnet50v2_128_mean";"";"";"";"0.033";"";"";"";"";"";"0.041";"";"";"";"";"";"0.472";"";"";"";"";"";"10.513";"";"";"";"";"";"0.176";"";""
"resnet50v2_128_std";"";"";"";"0.24";"";"";"";"";"";"0.379";"";"";"";"";"";"149.081";"";"";"";"";"";"202.424";"";"";"";"";"";"3.197";"";""
"resnet50v2_128_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"vgg16_512_mean";"";"";"";"0.037";"0.251";"";"";"";"";"0.084";"0.102";"";"";"";"";"1.096";"1.161";"";"";"";"";"7.972";"1.638";"";"";"";"";"0.428";"0.631";""
"vgg16_512_std";"";"";"";"0.481";"1.029";"";"";"";"";"0.848";"0.722";"";"";"";"";"166.078";"182.569";"";"";"";"";"204.835";"207.836";"";"";"";"";"1.464";"1.743";""
"vgg16_512_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"vgg16_256_mean";"";"";"";"0.202";"0.122";"";"";"";"";"0.065";"0.066";"";"";"";"";"0.701";"0.664";"";"";"";"";"8.608";"8.265";"";"";"";"";"0.3";"0.377";""
"vgg16_256_std";"";"";"";"0.784";"0.607";"";"";"";"";"0.441";"0.443";"";"";"";"";"170.402";"171.22";"";"";"";"";"211.561";"211.768";"";"";"";"";"0.947";"1.052";""
"vgg16_256_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"vgg16_128_mean";"";"";"";"0.114";"0.116";"";"";"";"";"0.044";"0.04";"";"";"";"";"0.496";"0.487";"";"";"";"";"8.684";"6.769";"";"";"";"";"0.194";"0.235";""
"vgg16_128_std";"";"";"";"0.343";"0.361";"";"";"";"";"0.401";"0.39";"";"";"";"";"141.163";"153.785";"";"";"";"";"203.279";"202.392";"";"";"";"";"0.782";"0.698";""
"vgg16_128_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
